ds,yhat,yhat_lower,yhat_upper
2022-09-30,1.000000004958256,1.0000000049568873,1.0000000049596272
2022-10-31,1.0000000038109123,1.000000003809742,1.0000000038121881
2022-11-30,2.0000000065525096,2.000000006551357,2.000000006553695
2022-12-31,2.000000009436229,2.0000000094349786,2.0000000094374224
2023-01-31,1.0000000047434379,1.0000000047422344,1.0000000047446758
2023-02-28,1.0000000044457424,1.0000000044444985,1.0000000044469837
2023-03-31,1.0000000017486164,1.0000000017472954,1.0000000017498685
2023-04-30,1.0000000076837379,1.0000000076826108,1.0000000076850093
2023-05-31,1.0000000084148408,1.0000000084136276,1.0000000084161185
2023-06-30,2.0000000096307566,2.0000000096294666,2.0000000096318407
2023-07-31,1.0000000048092146,1.0000000048081092,1.0000000048104565
2023-08-31,1.0000000082220748,1.0000000082207854,1.0000000082233396
2023-09-30,1.0000000082737646,1.0000000082726834,1.0000000082749687
2023-10-31,1.0000000077307711,1.0000000077295284,1.0000000077321045
2023-11-30,2.0000000110582876,2.0000000110570375,2.000000011059479
2023-12-31,2.0000000144610057,2.0000000144597436,2.0000000144622856
2024-01-31,1.0000000103325717,1.0000000103313522,1.0000000103337183
2024-02-29,1.0000000106518367,1.0000000106505775,1.0000000106531486
2024-03-31,1.0000000082880574,1.000000008286804,1.0000000082892477
2024-04-30,1.00000001494741,1.0000000149461727,1.000000014948652
2024-05-31,1.0000000163763976,1.0000000163751679,1.0000000163775682
2024-06-30,2.0000000182956263,2.0000000182944313,2.0000000182969093
2024-07-31,1.0000000139198075,1.000000013918558,1.000000013921022
2024-08-31,1.0000000176901513,1.0000000176888566,1.0000000176913164
2024-09-30,1.0000000185545557,1.0000000185532745,1.0000000185558457
2024-10-31,1.0000000186741917,1.0000000186729157,1.0000000186754077
2024-11-30,2.000000022620699,2.0000000226194676,2.0000000226219536
2024-12-31,2.0000000269841793,2.000000026982939,2.0000000269854965
2025-01-31,1.0000000235668445,1.0000000235655417,1.0000000235680182
2025-02-28,1.0221727750337362,1.0184657398755774,1.0257354195264152
2025-03-31,1.0198190182629197,1.0084668691863787,1.0311009969657516
2025-04-30,1.008478505443511,0.9856245968099376,1.0324505032729925
2025-05-31,0.9951015353575416,0.9577952710600154,1.031629401514608
2025-06-30,1.9906077594551732,1.936978410240645,2.0431415772370496
2025-07-31,0.9937036103744541,0.9217233584688563,1.0648415944433378
