ds,yhat,yhat_lower,yhat_upper
2022-09-30,9.968017173864405,7.716524063765596,12.336596982577218
2022-10-31,8.646531481228411,6.3947082818290175,11.058476989320715
2022-11-30,15.996866958059185,13.740079826485598,18.357769246220595
2022-12-31,13.47119310631642,11.012698585563419,15.878938931968582
2023-01-31,7.691690215901466,5.266778104562623,10.23624790655267
2023-02-28,9.060611920762591,6.7833146235470245,11.457532092089986
2023-03-31,10.821083548292846,8.564944248702787,13.11955627560445
2023-04-30,8.391141480087201,5.902757720415481,10.701255906878686
2023-05-31,7.729825048505015,5.239684973392226,10.225014932762264
2023-06-30,16.757226453422945,14.409316289709516,19.22019115725965
2023-07-31,8.478332024056343,6.144982971962689,10.787972321598481
2023-08-31,7.02386788585336,4.611503461768545,9.328809130735499
2023-09-30,11.13077842874224,8.828034853101313,13.263128194970706
2023-10-31,9.772243711993417,7.472170428420891,12.139025301338744
2023-11-30,16.153993886189603,13.842238011106272,18.53016199901596
2023-12-31,13.140933589613297,10.871285068123537,15.686120835740965
2024-01-31,8.090219782096732,5.8644388523932065,10.592544221316974
2024-02-29,7.915053205659989,5.493255015739834,10.24767808509511
2024-03-31,9.161306187916049,6.763581348862979,11.574232107652984
2024-04-30,9.596030098751486,7.335205683272757,12.037824537753938
2024-05-31,10.261176175373993,7.723145473239523,12.553421635212006
2024-06-30,18.242618394319646,16.058329512726086,20.6828021556167
2024-07-31,7.525291710796971,5.0944221055931775,9.827314135814001
2024-08-31,8.982931823670903,6.750162704607796,11.233168530151927
2024-09-30,9.908340748266822,7.498542072274798,12.380836364907141
2024-10-31,8.588452476958723,6.235190849202245,10.850569063791037
2024-11-30,17.84468559862838,15.418813886873176,20.294170732388356
2024-12-31,16.375362905934566,14.188505386970197,18.600950516982966
2025-01-31,9.20732797966147,6.694250112771768,11.582276252442778
2025-02-28,9.029948137645418,6.681299518499659,11.396132336197006
2025-03-31,10.473739171325455,8.064677388498996,12.826472877444047
2025-04-30,9.964474200871592,7.742655316647522,12.226693241140328
2025-05-31,10.16801910225403,7.976015802168953,12.583211082760124
2025-06-30,18.48157248691698,16.19263270938263,20.91640494506073
2025-07-31,8.581646448617512,6.080721323510935,10.89801208641701
